iter	Logloss
0	0.688471865
1	0.6835918573
2	0.6791712262
3	0.6752650021
4	0.6726770459
5	0.6689236011
6	0.6655221706
7	0.6617995216
8	0.6590287354
9	0.6556506719
10	0.6512272571
11	0.6475270723
12	0.6436869793
13	0.6395776474
14	0.6364616366
15	0.6326350442
16	0.6286775958
17	0.6254182835
18	0.6222874377
19	0.6188610717
20	0.6148134733
21	0.6121363487
22	0.6085492597
23	0.6047650098
24	0.6019693132
25	0.5988074329
26	0.5947946595
27	0.5909063527
28	0.5875467827
29	0.5838120441
30	0.5802959939
31	0.5772759305
32	0.5742482146
33	0.5713043734
34	0.5679342979
35	0.565005739
36	0.5623728935
37	0.5600424642
38	0.5569684512
39	0.5542047036
40	0.5510560266
41	0.5482664251
42	0.5450810126
43	0.5420990159
44	0.5391748773
45	0.5365858926
46	0.5342547732
47	0.5311977171
48	0.5289995045
49	0.5268560084
50	0.5250107804
51	0.5220686023
52	0.5193247736
53	0.5172307754
54	0.5144842439
55	0.5116781963
56	0.5097462717
57	0.5072926691
58	0.5062183284
59	0.5040534305
60	0.5028944091
61	0.5007253773
62	0.4983598195
63	0.4961808563
64	0.4940086681
65	0.4926177234
66	0.4905598212
67	0.4887113295
68	0.4865156801
69	0.4845671664
70	0.4821183955
71	0.4802132286
72	0.4788681567
73	0.4776288096
74	0.4751943371
75	0.4733781178
76	0.4716884666
77	0.4692772122
78	0.4676077522
79	0.4660765695
80	0.4638428516
81	0.4621454918
82	0.4596678824
83	0.457654474
84	0.4559533926
85	0.4546408938
86	0.4524794433
87	0.4503081927
88	0.4483692361
89	0.4469314945
90	0.445143686
91	0.4436452101
92	0.4419941371
93	0.4399055463
94	0.4381330365
95	0.4363228091
96	0.4346128294
97	0.4328577041
98	0.4308548033
99	0.4293110706
100	0.4277002675
101	0.4261118203
102	0.4251636334
103	0.4234523247
104	0.4217308123
105	0.4200280029
106	0.4188631241
107	0.4170912724
108	0.4157056116
109	0.4140387784
110	0.4129963711
111	0.4110676576
112	0.4098091577
113	0.4083301946
114	0.4066932712
115	0.4051579275
116	0.4033931429
117	0.4022173248
118	0.4007389997
119	0.3990803629
120	0.3977152238
121	0.3961750511
122	0.3944586209
123	0.3928415045
124	0.3914917412
125	0.3904999146
126	0.3892767773
127	0.3875914399
128	0.3872132833
129	0.3862741992
130	0.3853590768
131	0.3839438982
132	0.3831641459
133	0.3821863784
134	0.3810196954
135	0.3798936187
136	0.3785742092
137	0.3775921582
138	0.3763216965
139	0.3749989196
140	0.3736590663
141	0.3727472296
142	0.3722739418
143	0.3713071212
144	0.3705665716
145	0.3695477011
146	0.3681682746
147	0.3672255562
148	0.3657869106
149	0.3647456642
150	0.3635486509
151	0.3625885807
152	0.361726806
153	0.3603139998
154	0.3600329166
155	0.359325962
156	0.3582852719
157	0.3572720708
158	0.3563479105
159	0.3551978909
160	0.3540972691
161	0.3530347116
162	0.3521591838
163	0.3510401781
164	0.3501580707
165	0.3487805783
166	0.3478252791
167	0.3472445076
168	0.3463288954
169	0.3455690489
170	0.3447529298
171	0.34426255
172	0.3434967141
173	0.3426938186
174	0.3415317745
175	0.3402463702
176	0.339500039
177	0.3386111501
178	0.3375452225
179	0.3366039218
180	0.3357175943
181	0.3350330371
182	0.3339256139
183	0.3332084616
184	0.3324003155
185	0.3318365839
186	0.3309851659
187	0.3302281107
188	0.3291576059
189	0.3285237685
190	0.3275871019
191	0.3268136549
192	0.3257027091
193	0.3249224312
194	0.3240781448
195	0.3230633612
196	0.3223883579
197	0.3220326535
198	0.3211714411
199	0.3201695648
200	0.3194316448
201	0.3185649482
202	0.3179765967
203	0.3170771755
204	0.3161482795
205	0.3152897197
206	0.3142323677
207	0.3136212423
208	0.3133790122
209	0.3131304915
210	0.3122136373
211	0.3116531087
212	0.3107707055
213	0.3099557645
214	0.3092615486
215	0.3085277746
216	0.3079327683
217	0.3071327827
218	0.3061502012
219	0.305206199
220	0.3042167081
221	0.30329645
222	0.3025145262
223	0.3018633127
224	0.3017432453
225	0.3010983693
226	0.3003552298
227	0.2998266902
228	0.2991022543
229	0.2985505365
230	0.2978950057
231	0.2975453702
232	0.2968369223
233	0.2965086124
234	0.2956109987
235	0.294853552
236	0.2940850924
237	0.2935287013
238	0.2931253937
239	0.2925459222
240	0.2918656125
241	0.2910933913
242	0.2905294267
243	0.2898305016
244	0.2892604352
245	0.2886482681
246	0.2880822221
247	0.2875468425
248	0.2868420396
249	0.2863085989
250	0.2858748372
251	0.2851883286
252	0.284476292
253	0.2839259618
254	0.2833245724
255	0.2824423566
256	0.2820075036
257	0.2812423851
258	0.2807610529
259	0.2802212061
260	0.2797516719
261	0.2792286067
262	0.2786659588
263	0.2781335518
264	0.2775988326
265	0.2769454191
266	0.2763497158
267	0.2757853603
268	0.2753525919
269	0.2747178792
270	0.2740121178
271	0.2729953506
272	0.272512612
273	0.2719767094
274	0.2713484345
275	0.2706753961
276	0.2700290422
277	0.2697619237
278	0.269130529
279	0.2685237876
280	0.2680183816
281	0.2674969564
282	0.2668900656
283	0.2664596959
284	0.266185339
285	0.2656452935
286	0.2652611357
287	0.2647227495
288	0.2641956457
289	0.2638056203
290	0.2633155842
291	0.2631534284
292	0.2627789249
293	0.2624104125
294	0.262124169
295	0.2616085163
296	0.2610733139
297	0.2605762036
298	0.2602050165
299	0.2598064708
300	0.2593514409
301	0.258894291
302	0.2584011302
303	0.2578530145
304	0.2573056076
305	0.2570015998
306	0.256529873
307	0.2562411041
308	0.2557947807
309	0.2553885246
310	0.2546564593
311	0.2540786589
312	0.2537155388
313	0.2532397707
314	0.2525741141
315	0.2521833761
316	0.2518286957
317	0.2514140558
318	0.2508202405
319	0.250504701
320	0.2500577478
321	0.2497290308
322	0.2492708161
323	0.2486703127
324	0.2483978492
325	0.2481687708
326	0.2475862841
327	0.2471573976
328	0.2468141001
329	0.2462851019
330	0.2460119896
331	0.2455069885
332	0.2451598392
333	0.2447083533
334	0.2444875396
335	0.2440502327
336	0.2435413486
337	0.2430519907
338	0.242618883
339	0.2422073167
340	0.241827184
341	0.2412187495
342	0.2407848362
343	0.2403707848
344	0.2399612617
345	0.2395726464
346	0.2392451377
347	0.238790888
348	0.238350996
349	0.2379844398
350	0.2376092952
351	0.2372484105
352	0.2371346505
353	0.2366523512
354	0.236254408
355	0.2360052907
356	0.2355954679
357	0.2352390552
358	0.2348952991
359	0.234315673
360	0.2338910672
361	0.2335989545
362	0.2330781689
363	0.2327571576
364	0.2323679366
365	0.2319205344
366	0.2317325194
367	0.2313404524
368	0.2306295241
369	0.2302153578
370	0.2301405851
371	0.2298530625
372	0.2294074705
373	0.2291909354
374	0.2288020323
375	0.2285370531
376	0.2282739749
377	0.2278219118
378	0.2275076911
379	0.2271187257
380	0.2270602417
381	0.2267989301
382	0.2264649916
383	0.2261175943
384	0.2257593376
385	0.2254343199
386	0.2253681905
387	0.2251475158
388	0.2249721401
389	0.2246168272
390	0.2241484147
391	0.2237962973
392	0.2233442465
393	0.2230395567
394	0.2227575156
395	0.2223504717
396	0.2220067822
397	0.2217726541
398	0.2213716861
399	0.2208633283
400	0.220483055
401	0.2201149802
402	0.2197523267
403	0.2192664506
404	0.2188257027
405	0.2184051232
406	0.2179934211
