iter	Passed	Remaining
0	5	5952
1	18	9074
2	22	7524
3	26	6590
4	29	5856
5	32	5420
6	36	5141
7	39	4874
8	43	4806
9	55	5453
10	59	5312
11	63	5216
12	66	5072
13	69	4925
14	74	4868
15	77	4756
16	80	4657
17	83	4572
18	87	4500
19	91	4471
20	94	4399
21	96	4299
22	99	4238
23	103	4215
24	107	4204
25	110	4151
26	113	4106
27	117	4080
28	121	4075
29	125	4062
30	128	4022
31	131	3985
32	136	4002
33	140	3985
34	143	3955
35	146	3928
36	149	3893
37	153	3896
38	157	3868
39	159	3830
40	162	3805
41	164	3761
42	169	3777
43	172	3755
44	176	3750
45	180	3745
46	186	3771
47	189	3757
48	192	3734
49	195	3709
50	197	3673
51	201	3669
52	204	3660
53	208	3648
54	211	3630
55	215	3630
56	218	3612
57	221	3595
58	223	3559
59	225	3538
60	227	3504
61	233	3525
62	237	3526
63	240	3511
64	242	3494
65	246	3494
66	249	3479
67	252	3466
68	255	3450
69	258	3438
70	263	3453
71	267	3446
72	269	3426
73	272	3403
74	275	3395
75	278	3387
76	281	3374
77	284	3362
78	287	3348
79	290	3344
80	294	3342
81	297	3333
82	302	3338
83	306	3339
84	310	3344
85	313	3334
86	316	3326
87	320	3323
88	326	3342
89	329	3332
90	332	3321
91	335	3310
92	338	3302
93	342	3298
94	345	3292
95	349	3287
96	352	3281
97	356	3278
98	359	3267
99	362	3260
100	365	3252
101	368	3245
102	371	3239
103	375	3236
104	378	3228
105	381	3219
106	384	3209
107	388	3205
108	391	3197
109	393	3186
110	396	3177
111	399	3168
112	403	3168
113	407	3167
114	410	3160
115	413	3153
116	416	3145
117	420	3141
118	423	3135
119	426	3129
120	429	3123
121	433	3121
122	436	3114
123	439	3106
124	442	3099
125	445	3091
126	449	3088
127	452	3080
128	454	3067
129	456	3056
130	460	3054
131	464	3051
132	466	3041
133	469	3034
134	472	3027
135	476	3026
136	482	3042
137	485	3034
138	488	3027
139	491	3022
140	497	3028
141	500	3022
142	502	3012
143	505	3007
144	509	3002
145	513	3003
146	516	2999
147	519	2992
148	523	2987
149	526	2982
150	529	2977
151	532	2968
152	534	2961
153	539	2965
154	543	2961
155	546	2954
156	549	2948
157	552	2944
158	555	2937
159	559	2938
160	563	2934
161	566	2932
162	569	2926
163	575	2931
164	578	2925
165	581	2921
166	584	2915
167	587	2908
168	591	2906
169	594	2902
170	598	2900
171	600	2890
172	603	2885
173	607	2885
174	610	2879
175	614	2874
176	617	2873
177	624	2883
178	627	2876
179	630	2870
180	633	2865
181	637	2867
182	640	2860
183	643	2854
184	646	2848
185	649	2841
186	653	2841
187	656	2837
188	660	2832
189	662	2824
190	666	2820
191	669	2817
192	672	2811
193	675	2807
194	679	2804
195	682	2801
196	686	2798
197	688	2788
198	691	2783
199	694	2778
200	698	2777
201	702	2774
202	705	2769
203	709	2767
204	716	2777
205	719	2771
206	722	2765
207	725	2760
208	727	2751
209	731	2750
210	734	2745
211	739	2746
212	742	2742
213	748	2747
214	750	2740
215	753	2735
216	756	2728
217	759	2722
218	763	2723
219	767	2720
220	770	2716
221	773	2712
222	778	2713
223	781	2707
224	783	2698
225	787	2696
226	790	2691
227	795	2694
228	799	2691
229	802	2687
230	806	2683
231	810	2681
232	813	2676
233	816	2673
234	820	2671
235	826	2676
236	829	2670
237	832	2665
238	835	2659
239	839	2657
240	842	2652
241	845	2647
242	848	2642
243	851	2638
244	856	2640
245	859	2634
246	862	2629
247	865	2624
248	868	2618
249	871	2614
250	874	2609
251	877	2606
252	881	2601
253	885	2602
254	888	2596
255	891	2591
256	894	2586
257	897	2581
258	901	2580
259	905	2576
260	910	2578
261	914	2574
262	918	2574
263	921	2569
264	924	2563
265	927	2559
266	931	2557
267	935	2556
268	940	2555
269	947	2562
270	951	2560
271	955	2556
272	958	2552
273	962	2550
274	966	2548
275	970	2544
276	973	2541
277	976	2537
278	981	2535
279	984	2530
280	987	2525
281	989	2520
282	993	2517
283	998	2516
284	1001	2511
285	1004	2507
286	1007	2501
287	1010	2499
288	1014	2494
289	1017	2490
290	1020	2485
291	1022	2479
292	1027	2480
293	1031	2477
294	1035	2473
295	1038	2469
296	1043	2469
297	1046	2465
298	1049	2460
299	1052	2456
300	1057	2455
301	1061	2452
302	1064	2448
303	1067	2444
304	1071	2440
305	1075	2438
306	1078	2434
307	1082	2431
308	1086	2430
309	1092	2432
310	1096	2428
311	1099	2425
312	1106	2428
313	1111	2427
314	1120	2437
315	1132	2450
316	1140	2457
317	1148	2463
318	1158	2472
319	1167	2481
320	1175	2486
321	1182	2490
322	1190	2494
323	1199	2502
324	1211	2515
325	1219	2521
326	1227	2526
327	1236	2534
328	1241	2532
329	1247	2532
330	1250	2527
331	1253	2522
332	1257	2517
333	1260	2513
334	1264	2509
335	1267	2505
336	1274	2507
337	1280	2508
338	1286	2509
339	1292	2509
340	1296	2505
341	1299	2500
342	1302	2494
343	1305	2489
344	1309	2485
345	1312	2481
346	1315	2475
347	1318	2470
348	1321	2464
349	1324	2460
350	1328	2455
351	1331	2451
352	1333	2444
353	1336	2438
354	1340	2435
355	1343	2430
356	1348	2428
357	1351	2423
358	1356	2421
359	1359	2416
360	1362	2411
361	1365	2406
362	1368	2401
363	1373	2399
364	1376	2394
365	1379	2388
366	1382	2383
367	1385	2378
368	1388	2374
369	1391	2369
370	1393	2363
371	1397	2358
372	1400	2354
373	1403	2349
374	1406	2343
375	1408	2337
376	1411	2332
377	1414	2327
378	1418	2324
379	1421	2319
380	1423	2313
381	1426	2307
382	1429	2302
383	1433	2299
384	1436	2294
385	1439	2289
386	1441	2283
387	1444	2277
388	1448	2275
389	1451	2270
390	1454	2265
391	1457	2260
392	1459	2254
393	1462	2248
394	1464	2243
395	1467	2238
396	1469	2232
397	1472	2227
398	1476	2223
399	1479	2219
400	1482	2214
401	1485	2209
402	1488	2204
403	1490	2198
404	1493	2193
405	1495	2188
406	1498	2183
407	1501	2179
408	1504	2174
409	1507	2168
410	1511	2165
411	1513	2160
412	1516	2155
413	1518	2149
414	1521	2144
415	1523	2139
416	1526	2134
417	1529	2129
418	1532	2124
419	1534	2119
420	1537	2114
421	1540	2109
422	1544	2106
423	1547	2102
424	1550	2097
425	1552	2092
426	1556	2089
427	1561	2087
428	1564	2082
429	1567	2078
430	1570	2073
